Transaction_ID,User_ID,Transaction_Amount,Transaction_Type,Time_of_Transaction,Device_Used,Location,Previous_Fraudulent_Transactions,Account_Age,Number_of_Transactions_Last_24H,Payment_Method,Fraudulent
T71,2438,3706.97,POS Payment,23,Desktop,Boston,1,24,6,Credit Card,0
T72,2634,4744.16,Bill Payment,8,Mobile,Los Angeles,1,24,2,Credit Card,0
T73,2787,4083.96,Online Purchase,11,Desktop,Chicago,0,77,5,Credit Card,0
T74,4643,2590.27,POS Payment,,Tablet,San Francisco,4,24,14,Credit Card,0
T75,2327,2182.62,Bill Payment,6,Desktop,Los Angeles,3,75,4,Credit Card,0
T76,4723,963.65,Bank Transfer,1,Desktop,Boston,4,66,2,Credit Card,0
T77,1452,4819.89,POS Payment,10,Mobile,,1,47,2,Credit Card,0
T78,2682,4218.6,Bill Payment,18,Tablet,Houston,0,62,7,Credit Card,1
T79,3863,1780.51,Bank Transfer,9,Mobile,New York,2,30,11,Credit Card,0
T80,4191,,Bank Transfer,,Tablet,San Francisco,1,83,11,Credit Card,0
T81,1627,307.55,Bill Payment,,Tablet,Miami,2,57,13,Credit Card,0
T82,2884,3394.13,ATM Withdrawal,0,Tablet,Miami,4,113,8,Credit Card,0
T83,2218,974.55,POS Payment,21,Mobile,Boston,3,87,9,Credit Card,0
T84,1400,460.62,Bank Transfer,13,Tablet,New York,3,21,8,Credit Card,0
T85,3331,3267.17,POS Payment,20,Desktop,San Francisco,0,61,8,Credit Card,0
T86,3926,3244.25,Bank Transfer,0,Mobile,Seattle,0,87,2,Credit Card,0
T87,1452,3970.78,Online Purchase,13,Tablet,Miami,2,72,8,Credit Card,0
T88,1658,4436.55,Bank Transfer,19,Mobile,Boston,1,25,6,Credit Card,0
T89,1546,4887.22,ATM Withdrawal,18,Mobile,Chicago,4,9,3,Credit Card,0
T90,1016,,Bank Transfer,13,Tablet,Los Angeles,0,39,12,Credit Card,1
T91,4243,3699.08,Bank Transfer,7,Mobile,San Francisco,3,29,5,Credit Card,0
T92,2768,,POS Payment,5,Tablet,New York,0,70,12,Credit Card,1
T93,2060,277.68,Online Purchase,7,Mobile,Miami,4,75,1,Credit Card,0
T94,1301,1511.09,Online Purchase,11,Mobile,Boston,1,73,12,Credit Card,0
T95,1992,3386.4,POS Payment,14,Mobile,Chicago,3,20,2,Credit Card,0
T96,1190,4715.11,Bank Transfer,6,Mobile,Los Angeles,4,61,7,Credit Card,0
T97,1980,1152.83,Online Purchase,0,Mobile,Houston,3,73,10,Credit Card,0
T98,4394,2723.58,POS Payment,3,Mobile,San Francisco,4,40,8,Credit Card,0
T99,3613,3559.85,POS Payment,,Mobile,Chicago,0,67,12,Credit Card,0
T100,2895,2063.5,Online Purchase,3,Desktop,Miami,1,60,5,Credit Card,0
T101,1625,292.36,Bill Payment,5,Desktop,New York,4,11,8,Credit Card,0
T102,3537,,ATM Withdrawal,6,Mobile,Seattle,2,94,7,Credit Card,0
T103,4882,293.21,Bill Payment,20,Mobile,Boston,0,47,13,Credit Card,0
T104,4247,3979.61,Bank Transfer,,Tablet,Los Angeles,3,27,12,Credit Card,0
T105,4110,1702.01,ATM Withdrawal,11,,New York,4,43,1,Credit Card,0
T106,2500,1938.62,Bank Transfer,9,Mobile,Seattle,0,84,1,Credit Card,0
T107,2890,2508.08,Bank Transfer,19,Mobile,San Francisco,0,106,2,Credit Card,0
T108,4896,4364.29,Bank Transfer,9,Desktop,Miami,3,59,2,Credit Card,0
T109,1684,480.61,POS Payment,20,Mobile,San Francisco,0,81,7,Credit Card,0
T110,1971,1104.1,Bill Payment,0,,Miami,3,70,5,Credit Card,0
T111,2166,967.03,POS Payment,10,Desktop,San Francisco,4,17,11,Credit Card,0
T112,2115,3812.52,Bill Payment,17,Desktop,Miami,3,88,2,Credit Card,0
T113,1853,3452.83,ATM Withdrawal,18,Desktop,New York,0,81,3,Credit Card,0
T114,4736,1648.66,Online Purchase,11,Tablet,Houston,0,90,8,Credit Card,0
T115,4769,1329.37,Bank Transfer,11,Mobile,Houston,4,52,14,Credit Card,0
T116,1574,4628.63,Bank Transfer,9,Mobile,Houston,0,55,3,Credit Card,0
T117,3197,1754.96,Bank Transfer,5,Unknown Device,Chicago,3,59,12,Credit Card,0
T118,3617,49997.8,Bill Payment,14,Tablet,Chicago,3,10,3,Credit Card,0
T119,1837,3546.21,Bank Transfer,11,Mobile,Miami,2,42,7,Credit Card,0
T120,3311,288.62,ATM Withdrawal,11,Desktop,Miami,1,118,11,Credit Card,0
T121,4051,2861.5,Bill Payment,18,Desktop,Chicago,3,92,14,Credit Card,0
T122,3983,1247.91,Bill Payment,17,,Los Angeles,3,47,10,Credit Card,0
T123,1268,3755.56,Bank Transfer,2,Mobile,New York,3,38,13,Credit Card,0
T124,1635,3171.29,Bill Payment,2,Mobile,Houston,0,46,6,Credit Card,0
T125,1119,3478.42,Bill Payment,20,Tablet,Boston,0,36,12,Credit Card,0
T126,2369,1643.05,ATM Withdrawal,10,Desktop,Miami,4,64,5,Credit Card,0
T127,2150,1965.89,Bank Transfer,6,,Los Angeles,1,101,6,Credit Card,0
T128,2012,1488.1,ATM Withdrawal,22,Tablet,Houston,2,37,4,Credit Card,1
T129,1633,3387.19,Bank Transfer,22,Desktop,Seattle,3,3,9,Credit Card,0
T130,1512,3242.31,Bill Payment,9,Desktop,San Francisco,1,14,10,Credit Card,0
T131,3849,4090.28,Bill Payment,16,Desktop,Boston,0,34,3,Credit Card,0
T132,2119,2832.44,ATM Withdrawal,14,Tablet,,1,84,13,Credit Card,0
T133,1703,195.15,ATM Withdrawal,0,Mobile,,3,54,3,Credit Card,0
T134,4147,35.18,Online Purchase,9,Desktop,Los Angeles,3,45,10,Credit Card,0
T135,4059,3303.68,ATM Withdrawal,11,Desktop,Houston,1,47,6,Credit Card,0
T136,3070,4765.26,Bill Payment,19,Desktop,Miami,3,109,6,Credit Card,0
T137,4908,1963.71,ATM Withdrawal,7,Mobile,Seattle,3,85,7,Credit Card,0
T138,4171,2373.58,ATM Withdrawal,11,Desktop,Seattle,1,91,8,Credit Card,0
T139,3849,2110.77,Bill Payment,6,Tablet,Houston,0,92,5,Credit Card,0
T140,3809,2895.09,POS Payment,11,Desktop,Seattle,1,6,8,Credit Card,0
T141,1515,2814.74,POS Payment,14,Tablet,Chicago,3,108,11,Credit Card,0
T142,1895,4300.7,Bill Payment,,,,0,96,3,Credit Card,0
T143,2291,4987.87,ATM Withdrawal,11,Mobile,Los Angeles,2,59,14,Credit Card,0
T144,4906,2944.83,ATM Withdrawal,3,Tablet,,0,61,10,Credit Card,0
T145,3774,274.49,Bill Payment,16,Mobile,Seattle,3,70,5,Credit Card,0
T146,3896,2606.27,Bill Payment,14,Tablet,Boston,0,109,5,Credit Card,0
T147,1089,4083.96,Online Purchase,16,Unknown Device,Houston,0,18,7,Credit Card,0
T148,1775,4257.63,Online Purchase,14,Mobile,Los Angeles,3,14,11,Credit Card,0
T149,3652,1181.02,ATM Withdrawal,,Desktop,Los Angeles,1,5,6,Credit Card,1
T150,2649,264.23,Bill Payment,15,Mobile,Boston,4,45,12,Credit Card,0
T151,1412,1955.79,Bank Transfer,10,Desktop,Chicago,2,117,2,Credit Card,0
T152,4068,171.79,Bill Payment,9,Desktop,New York,2,34,10,Credit Card,0
T153,4465,,POS Payment,13,Desktop,Chicago,1,39,13,Credit Card,0
T154,3504,3790.33,Online Purchase,4,,Boston,3,54,8,Credit Card,0
T155,3786,4135.26,Bank Transfer,23,Tablet,Boston,3,67,9,Credit Card,0
T156,4760,4249.73,Bank Transfer,17,Mobile,San Francisco,4,118,5,Credit Card,0
T157,1977,4126.46,Online Purchase,8,Unknown Device,San Francisco,3,63,14,Credit Card,0
T158,2008,401.64,ATM Withdrawal,14,Mobile,Houston,3,67,2,Credit Card,0
T159,2687,2244.51,Bank Transfer,7,Tablet,San Francisco,1,13,6,Credit Card,1
T160,3710,939.42,Bill Payment,6,Mobile,New York,1,93,11,Credit Card,0
T161,1872,1031.92,POS Payment,19,Mobile,Los Angeles,3,59,9,Credit Card,0
T162,4952,889.87,POS Payment,20,Desktop,San Francisco,1,59,2,Credit Card,0
T163,3109,4821.31,Bank Transfer,3,Mobile,New York,2,104,11,Credit Card,0
T164,1698,3359.22,ATM Withdrawal,5,Desktop,Seattle,0,58,10,Credit Card,0
T165,3224,1698.66,Online Purchase,21,Tablet,Seattle,1,93,8,Credit Card,0
T166,3492,2716.76,Online Purchase,,Tablet,Los Angeles,1,23,13,Credit Card,0
T167,1264,2174.59,Bank Transfer,9,Mobile,Miami,2,105,7,Credit Card,0
T168,4577,139.2,Online Purchase,12,Desktop,San Francisco,2,63,11,Credit Card,0
T169,1143,172.88,Bank Transfer,16,Mobile,Chicago,0,15,1,Credit Card,0
T170,4140,530.05,Bill Payment,9,Mobile,Chicago,4,6,13,Credit Card,0
T171,4170,489.16,ATM Withdrawal,5,Tablet,New York,0,24,6,Credit Card,0
T172,1395,3968.67,Bill Payment,7,Desktop,San Francisco,3,32,4,Credit Card,0
T173,3995,4006.69,Bank Transfer,12,Tablet,Boston,0,18,7,Credit Card,0
T174,3938,1367.57,Bank Transfer,20,Mobile,,2,50,1,Credit Card,0
T175,2167,2264.04,Online Purchase,16,Tablet,Miami,0,70,8,Credit Card,0
T176,2238,2999.55,Bill Payment,5,Mobile,Houston,1,77,10,Credit Card,0
T177,1732,3505.77,Bill Payment,9,Desktop,New York,4,23,4,Credit Card,0
T178,3705,1658.09,Bank Transfer,20,Mobile,Seattle,0,119,12,Credit Card,0
T179,4080,4904.13,POS Payment,22,Mobile,Houston,0,98,7,Credit Card,0
T180,4145,3192.32,Bank Transfer,18,Desktop,Miami,2,72,4,Credit Card,0
T181,1953,972.02,Online Purchase,1,Mobile,Los Angeles,1,106,3,Credit Card,0
T182,4301,,Bank Transfer,17,Mobile,Houston,2,11,7,Credit Card,0
T183,3217,443.23,Online Purchase,10,Mobile,Miami,0,100,2,Credit Card,0
T184,3993,753.9,POS Payment,18,Desktop,Houston,3,104,5,Credit Card,0
T185,2540,4878.67,Bank Transfer,18,Mobile,San Francisco,3,92,12,Credit Card,0
T186,2388,2030.54,Online Purchase,5,Desktop,Seattle,1,108,8,Credit Card,0
T187,2155,2484.82,Bank Transfer,17,Tablet,New York,0,97,3,Credit Card,0
T188,4141,4855.66,ATM Withdrawal,15,Mobile,Miami,0,78,5,Credit Card,0
T189,3492,2977.51,ATM Withdrawal,1,Desktop,,0,17,2,Credit Card,1
T190,3923,1381.4,Bill Payment,0,,Seattle,0,32,3,Credit Card,0
T191,4197,2984.25,Bank Transfer,23,Mobile,Houston,0,51,8,Credit Card,0
T192,1753,,Bank Transfer,23,Mobile,,2,64,9,Credit Card,0
T193,4709,4709.03,POS Payment,13,Desktop,Chicago,2,45,5,Credit Card,0
T194,2683,,Bank Transfer,20,Mobile,Miami,0,71,13,Credit Card,0
T195,3523,2056.76,ATM Withdrawal,2,Desktop,New York,0,16,10,Credit Card,0
T196,2958,1077.03,ATM Withdrawal,8,Desktop,Chicago,4,35,10,Credit Card,0
T197,3395,2971.16,Bill Payment,19,Desktop,San Francisco,1,52,8,Credit Card,0
T198,1133,3016.42,POS Payment,15,Tablet,Miami,1,113,7,Credit Card,1
T199,3105,142.01,POS Payment,6,Tablet,Boston,3,11,3,Credit Card,0
T200,3220,4532.97,Bank Transfer,10,Tablet,Seattle,2,35,12,Credit Card,0
T201,1814,1925.95,ATM Withdrawal,22,Mobile,Seattle,2,60,6,Credit Card,0
T202,1079,2349.01,Online Purchase,6,Desktop,Seattle,4,113,4,Credit Card,0
T203,3933,3766.65,Bank Transfer,5,Mobile,,1,58,5,Credit Card,1
T204,4284,3950.91,Bill Payment,0,Desktop,,3,42,3,Credit Card,0
T205,1202,2497.45,Online Purchase,,Mobile,San Francisco,4,58,6,Credit Card,0
T206,4473,4561.45,POS Payment,21,Tablet,San Francisco,2,65,10,Credit Card,0
T207,3094,,Bank Transfer,12,Desktop,Miami,1,73,5,Credit Card,0
T208,3703,3391.15,Bill Payment,,Desktop,Boston,4,105,9,Credit Card,0
T209,2035,3672.69,ATM Withdrawal,16,Tablet,New York,4,115,8,Credit Card,0
T210,1967,2115.8,Bank Transfer,,Mobile,Seattle,2,4,3,Credit Card,0
T211,4479,2283.21,Bank Transfer,3,Tablet,San Francisco,0,18,14,Credit Card,0
T212,1372,3915.91,POS Payment,19,Mobile,Chicago,0,23,14,Credit Card,1
T213,2031,49997.8,Bank Transfer,4,Desktop,Seattle,4,90,13,Credit Card,0
T214,2371,3503.92,POS Payment,5,Desktop,New York,0,95,12,Credit Card,0
T215,3779,,Bank Transfer,5,Desktop,Los Angeles,0,68,12,Credit Card,0
T216,1868,3816.92,Bank Transfer,16,Desktop,,2,102,13,Credit Card,0
T217,4618,2462.08,POS Payment,13,Tablet,Seattle,3,50,7,Credit Card,0
T218,4324,2103.07,Bill Payment,16,Desktop,New York,4,30,10,Credit Card,0
T219,2838,3688.09,ATM Withdrawal,1,Desktop,San Francisco,4,56,12,Credit Card,0
T220,2944,4147.53,Bill Payment,0,Tablet,Chicago,1,76,3,Credit Card,0
T221,3871,717.79,POS Payment,9,Desktop,New York,1,6,11,Credit Card,0
T222,1797,1491.62,POS Payment,,Tablet,Miami,2,27,1,Credit Card,0
T223,4313,3119.71,Online Purchase,11,Tablet,New York,2,29,9,Credit Card,0
T224,4190,2828.74,Bill Payment,21,Tablet,Boston,2,97,14,Credit Card,0
T225,2015,,Bill Payment,12,Desktop,Houston,4,13,11,Credit Card,0
T226,2484,720.7,Bill Payment,12,Desktop,,4,60,12,Credit Card,0
T227,1517,2568.14,Bank Transfer,15,Mobile,Seattle,3,36,7,Credit Card,0
T228,1475,2498.4,Bill Payment,8,Mobile,New York,2,56,13,Credit Card,0
T229,3818,4166.38,ATM Withdrawal,17,Desktop,Chicago,2,17,8,Credit Card,0
T230,4529,4443.77,ATM Withdrawal,,Mobile,Chicago,3,8,4,Credit Card,0
T231,1082,3390.87,Bank Transfer,19,Desktop,Los Angeles,1,51,4,Credit Card,0
T232,4156,3525.49,Bank Transfer,15,Desktop,Los Angeles,2,105,3,Credit Card,0
T233,2469,2377.81,Online Purchase,23,Desktop,New York,4,83,4,Credit Card,0
T234,1487,2487.52,Bill Payment,19,Tablet,Boston,4,18,2,Credit Card,0
T235,2823,646.11,Bank Transfer,4,Desktop,Houston,3,36,10,Credit Card,0
T236,2574,4835.75,ATM Withdrawal,17,Mobile,New York,0,114,9,Credit Card,0
T237,1249,,Bill Payment,8,Desktop,Seattle,1,80,6,Credit Card,0
T238,2984,3292.58,ATM Withdrawal,18,,Miami,4,116,10,Credit Card,0
T239,4805,4024.04,ATM Withdrawal,,Tablet,Houston,3,111,13,Credit Card,0
T240,2848,191.1,Online Purchase,5,Tablet,Seattle,4,34,10,Credit Card,0
T241,4374,514.89,Bank Transfer,15,Tablet,Seattle,4,75,8,Credit Card,0
T242,3966,394.25,Bank Transfer,21,Desktop,Seattle,4,52,10,Credit Card,0
T243,4278,133.3,Bank Transfer,,Desktop,,2,66,8,Credit Card,0
T244,2252,279.86,POS Payment,0,Mobile,Miami,0,51,1,Credit Card,0
T245,1434,1134.43,Bank Transfer,0,Tablet,New York,1,45,1,Credit Card,0
T246,1763,1596.43,ATM Withdrawal,19,Tablet,Seattle,1,40,1,Credit Card,0
T247,3853,3346.23,Online Purchase,18,,,3,60,13,Credit Card,0
T248,1446,2458.21,POS Payment,1,Desktop,Miami,2,39,6,Credit Card,0
T249,2019,2593.81,Online Purchase,18,Mobile,Miami,1,12,2,Credit Card,0
T250,3180,2332.54,POS Payment,10,Tablet,Houston,3,28,5,Credit Card,0
T251,1137,3065.31,ATM Withdrawal,,Desktop,Chicago,0,63,9,Credit Card,0
T252,3231,3237.01,ATM Withdrawal,16,Tablet,Miami,3,1,12,Credit Card,0
T253,4845,2497.71,ATM Withdrawal,18,Desktop,Boston,4,117,13,Credit Card,0
T254,3100,3899.21,ATM Withdrawal,12,Desktop,Chicago,2,40,1,Credit Card,1
T255,4818,465.15,Bank Transfer,2,Mobile,Los Angeles,0,75,13,Credit Card,0
T256,1042,2152.91,Bill Payment,12,Desktop,Los Angeles,2,66,5,Credit Card,1
T257,2906,1748.72,Bank Transfer,1,Desktop,San Francisco,2,33,13,Credit Card,0
T258,4445,2841.65,Bank Transfer,22,Mobile,Seattle,2,17,4,Credit Card,0
T259,1899,4394.4,Bill Payment,15,Desktop,Los Angeles,4,107,12,Credit Card,0
T260,4266,2823.43,Bill Payment,1,Tablet,Seattle,2,53,3,Credit Card,0
T261,2887,3285.65,Online Purchase,23,Mobile,Boston,0,80,3,Credit Card,0
T262,4474,1754.76,Bill Payment,18,Tablet,San Francisco,4,101,8,Credit Card,0
T263,2028,2995.3,POS Payment,6,Tablet,Boston,2,98,9,Credit Card,0
T264,4584,791.28,Online Purchase,19,Desktop,Chicago,2,56,10,Credit Card,0
T265,1523,,ATM Withdrawal,20,,San Francisco,0,94,12,Credit Card,0
T266,3296,4972.35,ATM Withdrawal,23,Mobile,Boston,2,51,1,Credit Card,0
T267,2144,4371.1,POS Payment,6,,Chicago,4,35,8,Credit Card,0
T268,3397,304.75,Online Purchase,13,Desktop,New York,2,21,6,Credit Card,0
T269,1047,1024.61,Online Purchase,10,Tablet,,1,83,4,Credit Card,0
T270,2715,2558.31,Online Purchase,7,Desktop,Seattle,4,50,14,Credit Card,0
T271,1525,601,Online Purchase,12,Tablet,Los Angeles,3,109,2,Credit Card,0
T272,1364,3157.09,POS Payment,14,Desktop,San Francisco,2,99,14,Credit Card,0
T273,1525,1966.26,Bill Payment,,Mobile,Miami,1,86,14,Credit Card,0
T274,3410,3675.02,POS Payment,10,Mobile,Seattle,4,63,14,Credit Card,0
T275,1484,1787.97,POS Payment,23,Mobile,San Francisco,1,34,4,Credit Card,0
T276,3075,3913.9,Online Purchase,11,Mobile,Miami,4,11,1,Credit Card,0
T277,1125,4015.23,POS Payment,13,Mobile,New York,3,37,14,Credit Card,0
T278,3859,4114.05,POS Payment,0,Mobile,,4,65,13,Credit Card,0
T279,1536,3489.53,Bank Transfer,1,Desktop,Seattle,0,23,4,Credit Card,0
T280,3192,,ATM Withdrawal,9,Mobile,Seattle,4,119,7,Credit Card,0
T281,4283,4106,ATM Withdrawal,20,Desktop,Houston,2,50,8,Credit Card,0
T282,2603,994.01,POS Payment,6,Mobile,Seattle,1,51,10,Credit Card,0
T283,1066,,Bank Transfer,0,Desktop,Seattle,0,114,5,Credit Card,0
T284,3156,2986.77,Bank Transfer,16,Mobile,Chicago,3,59,12,Credit Card,0
T285,3081,1178.51,Online Purchase,19,Desktop,San Francisco,4,32,9,Credit Card,0
T286,1622,3096.88,Online Purchase,1,Tablet,Boston,3,100,8,Credit Card,0
T287,4847,93.38,ATM Withdrawal,8,Tablet,Boston,0,1,4,Credit Card,0
T288,3642,1199.68,POS Payment,12,Mobile,Miami,3,22,8,Credit Card,0
T289,3472,2672.78,POS Payment,9,Desktop,New York,4,17,1,Credit Card,0
T290,3362,3892.31,Bank Transfer,1,Mobile,San Francisco,4,82,14,Credit Card,0
T291,2312,1236.23,Bill Payment,18,Tablet,Seattle,4,54,5,Credit Card,0
T292,2526,4315.12,Bank Transfer,9,Desktop,Houston,0,58,11,Credit Card,0
T293,2630,2757.25,Online Purchase,19,Mobile,Los Angeles,1,64,2,Credit Card,1
T294,4735,559.83,POS Payment,7,Desktop,Seattle,2,86,11,Credit Card,0
T295,1758,4102.4,Bill Payment,18,Desktop,Miami,0,105,3,Credit Card,0
T296,3946,956.2,Bank Transfer,4,Mobile,New York,3,54,1,Credit Card,0
T297,1242,1361.73,Bill Payment,6,Mobile,San Francisco,3,72,5,Credit Card,0
T298,2246,1327.49,ATM Withdrawal,20,Mobile,Seattle,4,31,10,Credit Card,0
T299,1074,185.12,ATM Withdrawal,20,Desktop,Boston,0,44,11,Credit Card,0
T300,3928,2373.84,ATM Withdrawal,4,Tablet,,4,4,7,Credit Card,0
T301,3021,1252.33,POS Payment,1,Desktop,Los Angeles,0,11,6,Credit Card,0
T302,3762,390.02,ATM Withdrawal,7,Mobile,Chicago,4,80,9,Credit Card,0
T303,2415,229.28,POS Payment,21,Tablet,Boston,2,87,13,Credit Card,0
T304,1723,1192.4,POS Payment,,Mobile,Houston,2,101,10,Credit Card,0
T305,1224,4852.16,ATM Withdrawal,17,Mobile,New York,1,92,10,Credit Card,0
T306,1112,659.25,POS Payment,9,Mobile,Seattle,4,111,6,Credit Card,0
T307,3187,2033.42,ATM Withdrawal,21,Mobile,,3,57,5,Credit Card,0
T308,2828,3812.77,ATM Withdrawal,6,Mobile,Chicago,0,13,10,Credit Card,0
T309,1138,2959.87,POS Payment,16,Mobile,Boston,1,25,14,Credit Card,0
T310,3026,3534.96,Online Purchase,4,Desktop,,2,77,13,Credit Card,0
T311,4744,1735.76,ATM Withdrawal,19,Desktop,Miami,2,102,10,Credit Card,0
T312,1901,4393.56,ATM Withdrawal,22,Desktop,Boston,4,83,5,Credit Card,0
T313,1009,248.04,Bill Payment,5,Tablet,Miami,1,9,1,Credit Card,0
T314,2619,157.47,Bank Transfer,9,Unknown Device,Los Angeles,2,55,4,Credit Card,0
T315,2342,3663.66,Bill Payment,18,Desktop,Boston,3,101,14,Credit Card,0
T316,3824,4336.17,POS Payment,11,Mobile,San Francisco,0,50,10,Credit Card,0
T317,3958,509.31,POS Payment,22,Desktop,Houston,0,102,11,Credit Card,0
